索引   文件名   耗时  数据最优解   实验最优解 
0   00_Instance_10_2_2_0,2_0,2_10_Rep0.txt   0.49   579   562 
索引   文件名   耗时  数据最优解   实验最优解 
0   00_Instance_10_2_2_0,2_0,2_10_Rep0.txt   0.49   579   562 
索引   文件名   耗时  数据最优解   实验最优解 
0   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.21   6503   8211 
5   05_Instance_10_2_2_0,2_0,2_20_Rep0.txt   0.41   746   811 
5   05_Instance_10_2_2_0,2_0,2_20_Rep0.txt   0.41   746   811 
5   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.26   6503   8646 
10   100_Instance_10_2_3_0,2_0,6_10_Rep0.txt   0.44   898   1269 
10   100_Instance_10_2_3_0,2_0,6_10_Rep0.txt   0.44   898   1269 
10   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.27   6503   8646 
15   105_Instance_10_2_3_0,2_0,6_20_Rep0.txt   0.44   0   62 
15   105_Instance_10_2_3_0,2_0,6_20_Rep0.txt   0.44   0   62 
15   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.29   6503   8557 
18   1080_Instance_20_2_2_0,2_0,2_10_Rep0.txt   2.03   3454   4506 
18   1080_Instance_20_2_2_0,2_0,2_10_Rep0.txt   2.03   3454   4506 
18   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.28   6503   8646 
23   1085_Instance_20_2_2_0,2_0,2_20_Rep0.txt   1.91   1357   2639 
23   1085_Instance_20_2_2_0,2_0,2_20_Rep0.txt   1.91   1357   2639 
23   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.29   6503   8646 
29   1090_Instance_20_2_2_0,2_0,6_10_Rep0.txt   2.21   1940   3095 
29   1090_Instance_20_2_2_0,2_0,6_10_Rep0.txt   2.21   1940   3095 
29   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.27   6503   8284 
34   1095_Instance_20_2_2_0,2_0,6_20_Rep0.txt   2.37   728   914 
34   1095_Instance_20_2_2_0,2_0,6_20_Rep0.txt   2.37   728   914 
34   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.25   6503   8646 
40   10_Instance_10_2_2_0,2_0,6_10_Rep0.txt   0.5   175   126 
40   10_Instance_10_2_2_0,2_0,6_10_Rep0.txt   0.5   175   126 
40   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.27   6503   8171 
41   1100_Instance_20_2_2_0,2_1_10_Rep0.txt   1.85   842   2048 
41   1100_Instance_20_2_2_0,2_1_10_Rep0.txt   1.85   842   2048 
41   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.31   6503   8130 
46   1105_Instance_20_2_2_0,2_1_20_Rep0.txt   1.61   0   45 
46   1105_Instance_20_2_2_0,2_1_20_Rep0.txt   1.61   0   45 
46   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.56   6503   6102 
51   110_Instance_10_2_3_0,2_1_10_Rep0.txt   0.43   1755   1549 
51   110_Instance_10_2_3_0,2_1_10_Rep0.txt   0.43   1755   1549 
51   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.48   6503   6504 
52   1110_Instance_20_2_2_0,4_0,2_10_Rep0.txt   2.55   4040   5581 
52   1110_Instance_20_2_2_0,4_0,2_10_Rep0.txt   2.55   4040   5581 
52   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.52   6503   6370 
57   1115_Instance_20_2_2_0,4_0,2_20_Rep0.txt   2.15   2627   3492 
57   1115_Instance_20_2_2_0,4_0,2_20_Rep0.txt   2.15   2627   3492 
57   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.42   6503   6541 
63   1120_Instance_20_2_2_0,4_0,6_10_Rep0.txt   2.32   849   1463 
63   1120_Instance_20_2_2_0,4_0,6_10_Rep0.txt   2.32   849   1463 
63   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.41   6503   6317 
68   1125_Instance_20_2_2_0,4_0,6_20_Rep0.txt   2.15   914   1417 
68   1125_Instance_20_2_2_0,4_0,6_20_Rep0.txt   2.15   914   1417 
68   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.44   6503   6843 
74   1130_Instance_20_2_2_0,4_1_10_Rep0.txt   1.63   1060   1023 
74   1130_Instance_20_2_2_0,4_1_10_Rep0.txt   1.63   1060   1023 
74   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.72   6503   5675 
79   1135_Instance_20_2_2_0,4_1_20_Rep0.txt   1.75   2250   948 
79   1135_Instance_20_2_2_0,4_1_20_Rep0.txt   1.75   2250   948 
79   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.5   6503   6521 
